#separator:tab
#html:true
#tags column:3
#deck column:4
#notetype column:5

Front	Back	Tags	Deck	Note Type
<b>What is Conditional Highlighting in Salesforce Reports?</b>	Conditional Highlighting allows <b>summarised values</b> to be colour-coded based on defined thresholds.<br><br>Helps users quickly identify high/low/normal values in summary and matrix reports.	Data::Reports	Salesforce Admin	Basic
<b>What is a Reporting Snapshot?</b>	A Reporting Snapshot stores report data <b>on a scheduled basis</b> in a custom object, enabling historical/trend analysis.<br><br>Components needed:<br>- A <b>source report</b> (Tabular or Summary)<br>- A <b>custom object</b> to store the data<br><br>Schedule: Daily, Weekly, or Monthly	Data::Reports	Salesforce Admin	Basic
<b>What is the Running User on a Dashboard?</b>	The Running User determines <b>whose security context is used</b> to display data on the dashboard.<br><br>- If set to a specific user (e.g., admin), all viewers see the same data regardless of their own permissions<br>- If set to "Logged-in User," each person sees data they have access to<br>- Dynamic dashboards use the logged-in user's context	Data::Dashboards	Salesforce Admin	Basic
<b>[MCQ] When can dashboards be refreshed?</b><br><br>A. When a user clicks 'Refresh'<br>B. The dashboard refresh frequency can be set per dashboard<br>C. Every time someone accesses the home page<br>D. Every day automatically	✅ <b>A and B</b><br><br><b>Explanation:</b> Dashboards can be <b>manually refreshed</b> by clicking Refresh, or <b>scheduled</b> to refresh daily, weekly, or monthly per dashboard settings.	Data::Dashboards	Salesforce Admin	Basic
<b>How does the Sharing Model affect Reports?</b>	Security and sharing settings are applied when reports are run:<br><br>- <b>Public OWD</b> (Read/Write or Read Only) – All users see the same records<br>- <b>Private OWD</b> – Users only see records they have access to<br><br>⚠ Page layouts do NOT impact record visibility in reports.<br>A user can report on a field if FLS grants read access, even if the field is NOT on their page layout.	Data::Reports	Salesforce Admin	Basic
<b>What are the Case Creation methods in Salesforce?</b>	Cases can be created:<br><ul><li><b>Manual</b> – Entered directly in the CRM</li><li><b>Email-to-Case</b> – Cases created from customer emails to a support address</li><li><b>Web-to-Case</b> – HTML form on company website generates cases</li><li><b>Auto-Response</b> – Triggered by online form submissions</li><li><b>Omni-Channel</b> – Routes work to agents automatically</li></ul>	Service::Cases	Salesforce Admin	Basic
<b>What is Email-to-Case in Salesforce?</b>	Email-to-Case generates cases from customer emails sent to a company's support email address.<br><br>- Multiple <b>Routing Addresses</b> can be configured<br>- Each routing address can have its own default owner, priority, and origin<br><br><b>On-Demand Email-to-Case:</b><br>- No installation required<br>- Smaller attachment size but higher daily limits	Service::Cases	Salesforce Admin	Basic
<b>What is Web-to-Case?</b>	Web-to-Case generates an <b>HTML web form</b> that can be placed on a company website to capture support cases directly into Salesforce.<br><br>reCAPTCHA verification can be enabled for Web-to-Case forms.	Service::Cases	Salesforce Admin	Basic
<b>What is a Queue in Salesforce?</b>	Queues are a <b>holding place for unassigned records</b> (Cases, Leads, Orders, etc.) that team members can pick up.<br><br>- Queue members can be users, roles, or public groups<br>- A <b>List View is automatically created</b> when a queue is created for Cases, Leads, or custom objects<br>- Members can accept ownership by clicking the 'Accept' button	Service::Queues	Salesforce Admin	Basic
<b>[MCQ] A Salesforce Administrator creates a queue for Cases. What happens automatically?</b><br><br>A. A sharing rule is created for the queue members<br>B. A list view is automatically created for the queue<br>C. An escalation rule is triggered<br>D. The cases are assigned to all queue members	✅ <b>B. A list view is automatically created for the queue</b><br><br><b>Explanation:</b> When a queue is created for Cases, Leads, or custom objects, Salesforce automatically creates a corresponding list view for that queue.	Service::Queues	Salesforce Admin	Basic
<b>What is Omni-Channel in Salesforce?</b>	Omni-Channel automatically routes work (cases, chats, etc.) to the <b>most available and qualified support agents</b>.<br><br>- Found in the Service Console <b>Utility Bar</b><br>- <b>Omni Supervisor</b> lets supervisors monitor agent workloads, status, and capacity<br>- Supports routing for: voice calls, chats, messaging, cases, leads, and custom objects	Service::OmniChannel	Salesforce Admin	Basic
<b>What are Macros in Salesforce Service Cloud?</b>	Macros are <b>sets of instructions</b> that automate common repetitive tasks in the Service Console (e.g., updating a case field, sending an email template).<br><br>⚠ Macros are limited to <b>front-end execution</b>. For background automation or complex logic, use <b>Flow</b>.	Service::Macros	Salesforce Admin	Basic
<b>What is Case Merge in Salesforce?</b>	Case Merge allows agents to merge <b>up to 3 duplicate cases</b> into one master case record.<br><br>- Must be enabled under Setup → Case Merge<br>- Duplicate cases are added to the "Merged Cases" related list on the master record<br>- Soft deletion of duplicates is optional	Service::Cases	Salesforce Admin	Basic
<b>What is a Support Process in Salesforce?</b>	A Support Process defines the <b>stages (Status picklist values)</b> a case goes through in its life cycle.<br><br>- Multiple support processes with different Status values can be created<br>- Assigned to Case Record Types<br>- An Approval Process can be added for certain stages	Service::SupportProcess	Salesforce Admin	Basic
<b>What are Case Teams in Salesforce?</b>	Case Teams allow support users to <b>collaborate on closing cases</b>.<br><br>- Roles must first be created in <b>Case Team Roles</b> setup<br>- Role access levels: Private, Read Only, Read/Write, Visible in Customer Portal<br>- Predefined case teams allow users to quickly add frequent collaborators	Service::CaseTeams	Salesforce Admin	Basic
<b>What is a Service Console in Salesforce?</b>	The Service Console is a <b>unified user interface for support agents</b> that allows them to access multiple records and tools on a single screen, enabling efficient case management.<br><br>Features include multi-tab navigation, case feeds, knowledge articles, and Omni-Channel integration.	Service::Console	Salesforce Admin	Basic
<b>What is Lead Auto-Response Rules in Salesforce?</b>	Auto-Response Rules automatically send an <b>email to the lead/customer</b> when they submit a form (e.g., Web-to-Lead).<br><br>⚠ This emails the <b>customer</b>, not the record owner.<br>For internal emails to team members, use <b>Flow</b>.	Sales::Leads	Salesforce Admin	Basic
<b>What objects and records are created during Lead Conversion?</b>	Lead Conversion creates:<br><ol><li><b>Account</b> (new or match existing)</li><li><b>Contact</b> (new or match existing)</li><li><b>Opportunity</b> (optional — can be skipped)</li></ol><br>The opportunity name is <b>auto-generated</b>. The owner of created records can be selected before conversion.	Sales::Leads	Salesforce Admin	Basic
<b>What is a Campaign in Salesforce?</b>	Campaigns are used to <b>track marketing efforts and ROI</b>.<br><br>- Campaigns can have a <b>hierarchy</b> (parent/child campaigns)<br>- Campaign Members are the Contacts or Leads associated with a Campaign<br>- Lead Source on Contacts/Leads can be tied to the originating Campaign	Sales::Campaigns	Salesforce Admin	Basic
<b>What is Web-to-Lead in Salesforce?</b>	Web-to-Lead generates an <b>HTML form</b> that can be added to a company website to capture Lead information directly into Salesforce.<br><br>Validation rules are run before records are created via Web-to-Lead. If validation fails, no record is created.	Sales::Leads	Salesforce Admin	Basic
<b>What are Opportunity Teams in Salesforce?</b>	Opportunity Teams allow multiple users to collaborate on a single Opportunity, each with a defined role (e.g., Sales Manager, Executive Sponsor).<br><br>- Each user can define a <b>default Opportunity Team</b> in personal settings<br>- The opportunity owner or someone above in the hierarchy can add the default team	Sales::Opportunities	Salesforce Admin	Basic
<b>What is Chatter in Salesforce?</b>	Chatter is Salesforce's <b>internal collaboration tool</b> allowing users to:<br><ul><li>Post updates and comments on records or groups</li><li>Share files</li><li>Follow records, users, and groups</li><li>Use @mentions to notify specific users</li></ul><br>Rich text (bold, italic, images, hyperlinks) can be enabled in Chatter settings.	Productivity::Chatter	Salesforce Admin	Basic
<b>What is AppExchange in Salesforce?</b>	AppExchange is Salesforce's official <b>cloud marketplace</b> where customers can find, try, and install applications and consulting services that extend Salesforce functionality.<br><br>Two types of packages:<br>- <b>Managed Package</b> – Published app with locked code (upgradeable by publisher)<br>- <b>Unmanaged Package</b> – Code is accessible and modifiable (not upgradeable)	Productivity::AppExchange	Salesforce Admin	Basic
<b>What is Einstein Activity Capture (EAC)?</b>	Einstein Activity Capture (EAC) automatically <b>logs emails and calendar events</b> to related Salesforce records, reducing manual data entry for sales reps.<br><br>Available in Sales Cloud and Service Cloud.	Productivity::Einstein	Salesforce Admin	Basic
<b>What is Gmail Integration in Salesforce?</b>	Gmail Integration allows users to log emails from Gmail to related Salesforce records (Contacts, Leads, Person Accounts).<br><br>Users can use the global search in the Gmail Integration pane to find any person record in Salesforce.<br><br>⚠ If Einstein Activity Capture has emails <b>disabled</b>, users can still manually click "Log Email."	Productivity::Gmail	Salesforce Admin	Basic
<b>What is Agentforce in Salesforce?</b>	Agentforce is Salesforce's <b>AI agent platform</b> that allows building autonomous agents using the <b>Atlas Reasoning Engine</b>.<br><br>Key concepts:<br>- <b>Topics</b> – The agent's specialties/intents (e.g., "Order Management")<br>- <b>Actions</b> – The tools the agent uses (Flows, Apex, Prompt Templates)<br>- <b>Grounding</b> – Giving the agent context by connecting it to Salesforce records	Agentforce	Salesforce Admin	Basic
<b>What is the Einstein Trust Layer?</b>	The Einstein Trust Layer ensures <b>data privacy and security</b> when using AI features in Salesforce:<br><br>- <b>Data Masking</b> – Hides PII (names, SSNs) before data is sent to LLMs<br>- <b>Zero Retention</b> – The LLM does NOT store your Salesforce data<br>- <b>Permissions</b> – Agentforce is managed via Permission Sets; check the Agent User's permissions if it cannot perform actions	Agentforce	Salesforce Admin	Basic
<b>[MCQ] A company needs to store custom application configuration data that is deployed across environments via Change Sets. Which Salesforce feature is most appropriate?</b><br><br>A. Custom Objects<br>B. Custom Settings<br>C. Custom Metadata Types (CMT)<br>D. Custom Labels	✅ <b>C. Custom Metadata Types (CMT)</b><br><br><b>Explanation:</b> Custom Metadata Types are designed for application configuration data. Unlike Custom Settings, CMT records ARE included in Change Sets and packages, making them deployable across environments.	ObjManager::CMT	Salesforce Admin	Basic
<b>[MCQ] CoolRay Inc. has two divisions with different roles. A Lightning app exists for each division with publicly visible products. What customisation options allow users to distinguish the apps and access their division's products?</b><br><br>A. Use pinned list views for the two types of products<br>B. Customise the apps to be accessible based on the user's role<br>C. Set different brand images and colours for the two Lightning apps<br>D. Create sharing rules to prevent cross-division viewing	✅ <b>A and C</b><br><br><b>Explanation:</b><br>✅ Users can pin a list view so it's the default when accessing the tab.<br>✅ Lightning apps can have different brand images and nav bar colours.<br>❌ App access is controlled by Profile, not Role.<br>❌ Products are publicly visible, so sharing rules wouldn't restrict access.	Config::AppMgmt	Salesforce Admin	Basic
<b>[MCQ] A user has a profile with Create, Edit, and Delete on Leads. OWD for Leads is Private. The user has a role with subordinates. What is the user's access to leads owned by other users?</b><br><br>A. Profile settings override sharing — full edit access to all leads<br>B. No access to leads owned by other users<br>C. Profile settings override OWD — edit access to all leads<br>D. Access to leads owned by users below them in the role hierarchy	✅ <b>D. Access to leads owned by users below them in the role hierarchy</b><br><br><b>Explanation:</b> Profile permissions determine object-level access (CAN I see any Lead?). OWD + Role Hierarchy determine WHICH specific Lead records. With Private OWD and a role hierarchy, the user sees their own leads PLUS leads owned by users below them.	Security::AccessModel	Salesforce Admin	Basic
<b>[MCQ] The Sales Managers want to use Pipeline Inspection. Which capabilities are features of Pipeline Inspection? (Select all that apply)</b><br><br>A. Filters can be applied to narrow the view<br>B. Tiered Einstein opportunity scores are displayed with key factors<br>C. The Pipeline tab shows changes to opportunities in forecast categories over time<br>D. KPIs for sales pipelines are displayed as metrics at the top	✅ <b>A, B, and D</b><br><br><b>Explanation:</b><br>✅ Pipeline Inspection supports custom filters, Einstein Deal Insights (ML scoring), and KPI metrics.<br>❌ The 'Pipeline' tab tracking forecast category changes over time is not a standard Pipeline Inspection feature — that's more related to Forecast views.	Sales::Pipeline	Salesforce Admin	Basic
<b>[MCQ] In a private sharing model, which features can grant access to Account records? (Select all that apply)</b><br><br>A. Account Teams<br>B. Manual Sharing<br>C. Sharing Rules<br>D. Sharing Exception Rules<br>E. Field Permissions	✅ <b>A, B, and C</b><br><br><b>Explanation:</b><br>✅ Account Teams, Manual Sharing, and Sharing Rules can all grant record-level access.<br>❌ "Sharing Exception Rules" does not exist.<br>❌ Field Permissions (FLS) control field visibility, not record sharing.	Security::SharingRules	Salesforce Admin	Basic
<b>What are the Sandbox types and their key differences?</b>	<table><tr><th>Type</th><th>Storage</th><th>Data</th><th>Refresh</th></tr><tr><td><b>Developer</b></td><td>200MB data / 200MB file</td><td>Metadata only</td><td>1 day</td></tr><tr><td><b>Developer Pro</b></td><td>1GB data / 1GB file</td><td>Metadata only</td><td>1 day</td></tr><tr><td><b>Partial Copy</b></td><td>5GB</td><td>Metadata + sample data</td><td>5 days</td></tr><tr><td><b>Full Copy</b></td><td>Same as production</td><td>All data</td><td>29 days</td></tr></table>	Config::Sandbox	Salesforce Admin	Basic
<b>What is the Mass Transfer Records tool used for?</b>	The Mass Transfer Records tool transfers multiple records from one user to another.<br><br>When transferring Accounts:<br>- Notes, Contacts, Opportunities, and open activities of the old owner are transferred<br><br>When transferring Leads:<br>- All open activities of the old owner are transferred<br><br>⚠ Does NOT support all standard objects; Data Loader is an alternative.	Data::Mgmt	Salesforce Admin	Basic
<b>What objects can be Mass Deleted in Salesforce?</b>	Accounts, Activities, Cases, Contacts, Leads, Solutions, Products, and Reports can be mass deleted.<br><br>- Related records are also deleted<br>- Filters can be used to find records<br>- Optional: permanently bypass the Recycle Bin<br>- Data Loader is a native alternative for mass deletion	Data::Mgmt	Salesforce Admin	Basic
<b>What is the Data Export Service in Salesforce?</b>	The Data Export Service performs <b>automated scheduled exports</b> of complete Salesforce org data in CSV files.<br><br>- Can include files, documents, images, and attachments<br>- Can run <b>immediately, weekly, or monthly</b><br>- Found in: Setup → Data → Data Export	Data::Export	Salesforce Admin	Basic
<b>What is the Recycle Bin storage limit?</b>	The Recycle Bin can store up to <b>25 times your data storage limit</b> in MB, with a minimum of 250MB. Records are permanently deleted automatically after <b>15 days</b>.	Data::Mgmt	Salesforce Admin	Basic
<b>What is a Multi-Select Picklist and what are its limitations?</b>	A Multi-Select Picklist allows users to select <b>multiple values</b> from a dropdown list.<br><br>Limitations:<br>- <b>Not supported</b> in formulas<br>- <b>Not supported</b> in reports (cannot group or sort by)<br>- <b>Not supported</b> in Roll-Up Summary field filters	ObjManager::Picklists	Salesforce Admin	Basic
<b>What is the Utility Bar in Lightning Experience?</b>	The Utility Bar provides easy access to common tools (Notes, History, Omni-Channel) from the <b>bottom</b> of the screen.<br><br>- Items appear at the bottom of the screen<br>- Can be positioned on the left or right<br>- Configured in the App Manager per Lightning App	Config::UI	Salesforce Admin	Basic
<b>What is the purpose of the Lightning Usage App?</b>	The Lightning Usage App monitors:<br>- <b>Adoption metrics</b> (daily active users in LEX vs. mobile app)<br>- <b>Page performance</b> (browser usage, slow pages)<br><br>Helps admins identify UX issues and improve page performance.	Config::UI	Salesforce Admin	Basic
<b>What is Inline Editing in Salesforce?</b>	Inline Editing allows users to edit fields <b>directly on the record's detail page</b> without clicking a separate Edit button.<br><br>A <b>pencil icon</b> appears when hovering over an editable field. A <b>lock icon</b> appears for read-only fields.<br><br>Enabled via: Setup → User Interface	Config::UI	Salesforce Admin	Basic
<b>What are Dynamic Actions in Salesforce?</b>	Dynamic Actions allow admins to <b>dynamically show or hide action buttons</b> on a record page based on the record's field values, user attributes, or device.<br><br>Helps keep the record page clean and context-relevant. Configured in the Lightning App Builder.	ObjManager::DynamicForms	Salesforce Admin	Basic
<b>What is Feed Tracking in Salesforce (Chatter)?</b>	Feed Tracking allows changes to specific fields on a record to be <b>posted in the Chatter feed</b> on that record, so users following it are notified of updates.<br><br>⚠ Feed filters are no longer supported in Lightning Experience.	Productivity::Chatter	Salesforce Admin	Basic
<b>What is the Salesforce Certified Administrator exam structure?</b>	<b>Exam ID:</b> ADM-201<br><b>Questions:</b> 60 scored + 5 unscored pretest (65 total)<br><b>Time:</b> 105 minutes<br><b>Passing Score:</b> 65% (39/60 correct)<br><b>Cost:</b> $200 (retake $100)<br><br><b>Domain Weightings (2025):</b><br>- Data & Analytics Management: 17%<br>- Configuration & Setup: 15%<br>- Object Manager & App Builder: 15%<br>- Automation: 15%<br>- Sales & Marketing: 10%<br>- Service & Support: 10%<br>- Productivity & Collaboration: 10%<br>- Agentforce AI: 8%	Meta::Exam	Salesforce Admin	Basic
<b>What are the key Einstein features for the Salesforce Admin exam?</b>	<table><tr><th>Feature</th><th>Function</th></tr><tr><td>Einstein Activity Capture</td><td>Auto-logs emails/events to records</td></tr><tr><td>Einstein Lead Scoring</td><td>Predicts which leads will convert</td></tr><tr><td>Einstein Opportunity Scoring</td><td>Predicts likelihood of Closed Won</td></tr><tr><td>Einstein Bots</td><td>Automated customer service chatbots</td></tr><tr><td>Einstein Next Best Action</td><td>Recommends offers/actions at the right time</td></tr><tr><td>Einstein Prediction Builder</td><td>Admins build custom AI models (no code)</td></tr></table>	Agentforce	Salesforce Admin	Basic
<b>What is the PRIORVALUE function in Validation Rules?</b>	<b>PRIORVALUE(fieldname)</b> returns the previous value of a field before the current save.<br><br>Used to prevent further edits once a record reaches a certain status.<br><br>Example: Block edits when Status is already "Archived" → <code>ISPICKVAL(Status, "Archived") &amp;&amp; ISCHANGED(Status)</code> won't work; use <b>PRIORVALUE</b> instead.	Automation::ValidationRules	Salesforce Admin	Basic
<b>What is the difference between UI-Required and Metadata-Required fields?</b>	<table><tr><th></th><th>UI Required</th><th>Metadata Required</th></tr><tr><td>Where configured</td><td>Page Layout Editor</td><td>Field-Level settings</td></tr><tr><td>Applies to API/data imports?</td><td>❌ No</td><td>✅ Yes</td></tr><tr><td>Can be removed from layout?</td><td>✅ Yes</td><td>❌ No</td></tr><tr><td>Scope</td><td>UI only</td><td>Everywhere in the system</td></tr></table>	Data::Validation	Salesforce Admin	Basic
<b>What is Conditional Formatting vs Conditional Highlighting in Salesforce?</b>	<b>Conditional Highlighting</b> (Reports) – Colours <b>summarised values</b> in summary/matrix reports based on thresholds.<br><br><b>Conditional Formatting</b> (List Views/Records) – Applies colour coding to <b>fields on list views or record pages</b> based on field values.	Data::Reports	Salesforce Admin	Basic
<b>What is the Account to Contact relationship in Salesforce?</b>	Account and Contact have a <b>Lookup Relationship</b>, but it also behaves like a Master-Detail because:<br>- A Contact can be related to one Account by default<br>- "Contact to Multiple Accounts" setting can be enabled to allow a Contact to relate to multiple Accounts<br>- Deleting an Account deletes all related Contacts	ObjManager::DataModel	Salesforce Admin	Basic
<b>[MCQ] An admin needs to report on Accounts WITHOUT any related Opportunities. Which report filter type should be used?</b><br><br>A. Row Limit Filter<br>B. Standard Filter<br>C. Cross Filter<br>D. Field-to-Field Filter	✅ <b>C. Cross Filter</b><br><br><b>Explanation:</b> Cross Filters display records based on whether or not they have child records of a particular type. This allows you to find "Accounts WITHOUT Opportunities."	Data::Reports	Salesforce Admin	Basic
<b>What are the standard objects in Salesforce (CLOC acronym)?</b>	Standard Sales Cloud objects (CLOC):<br><ul><li><b>C</b>ampaigns</li><li><b>L</b>eads → Accounts, Contacts, Opportunities (via Lead Conversion)</li><li><b>O</b>pportunities (linked to Accounts)</li><li><b>C</b>ases (Service Cloud)</li></ul><br>Plus: <b>Accounts, Contacts</b> — the core of the CRM data model.	ObjManager::DataModel	Salesforce Admin	Basic
<b>What is the difference between a Role and a Territory in Salesforce?</b>	<table><tr><th></th><th>Role</th><th>Territory</th></tr><tr><td>Based on</td><td>Organisational/reporting hierarchy</td><td>Geographic or customer segmentation</td></tr><tr><td>Record Access</td><td>Vertical (users see records of users below)</td><td>Defines record access for assigned region</td></tr><tr><td>Sharing Rules</td><td>Roles can be targets of sharing rules</td><td>Territories can also be targets</td></tr></table>	Security::RoleHierarchy	Salesforce Admin	Basic
<b>What are the MFA methods available in Salesforce?</b>	Multi-Factor Authentication (MFA) verification methods:<br><ul><li>Email verification code</li><li>SMS/Text message code</li><li>Fingerprint/biometric scanner</li><li>Push notification via authenticator app (with timer)</li><li>Temporary verification code provided by admin</li></ul>	Config::Security	Salesforce Admin	Basic
<b>What is "Controlled by Parent" OWD for a child object?</b>	"Controlled by Parent" means the child object's record access is <b>determined by the parent record's sharing settings</b> (used in Master-Detail relationships).<br><br>If a user has access to the parent, they have the same level of access to all child records. The child cannot have its own sharing rules.	Security::OWD	Salesforce Admin	Basic
<b>What report export formats are supported?</b>	Reports can be exported as:<br>- <b>Details Only</b> → .xls, .xlsx, or .csv<br>- <b>Formatted Report</b> → .xlsx only<br><br>⚠ Joined reports are <b>always</b> exported as Formatted Reports (.xlsx).	Data::Reports	Salesforce Admin	Basic
<b>What is Sales Dialer in Salesforce?</b>	Sales Dialer allows making and receiving calls, adding call notes, and logging call information directly from Salesforce.<br><br>- Available in <b>Lightning Experience only</b><br>- Single-click calling from phone number fields<br>- Supports call recording (<b>no additional plugin required</b>)	Sales::Productivity	Salesforce Admin	Basic
<b>[MCQ] Which automation tool should be used to automatically send a survey invitation to a lead when they are created?</b><br><br>A. Workflow Rule<br>B. Process Builder<br>C. Flow Builder with 'Send Survey Invitation' action<br>D. Assignment Rule	✅ <b>C. Flow Builder with 'Send Survey Invitation' action</b><br><br><b>Explanation:</b> Flow Builder can use a native 'Send Survey Invitation' action type to automatically email survey invitations to leads, contacts, or users. Using a native Flow action is preferred over relying on outbound messages or third-party systems. Workflow Rules are legacy/deprecated.	Automation::Flow	Salesforce Admin	Basic
<b>What is a Compact Layout in Salesforce?</b>	A Compact Layout controls which fields are displayed in the <b>record highlights panel</b> (top of a record page) and in <b>hover details</b>.<br><br>The first few fields in the Compact Layout determine what appears when hovering over a record link.	ObjManager::PageLayouts	Salesforce Admin	Basic
<b>What is the Page Layout used to control in Salesforce?</b>	A Page Layout controls the organisation and content of record detail and edit pages:<br><ul><li><b>Fields</b> (order, required, read-only)</li><li><b>Related Lists</b> (which related lists appear)</li><li><b>Buttons and Custom Links</b></li><li><b>Publisher Actions</b> (which actions appear)</li><li><b>Report Charts</b></li></ul><br>⚠ FLS (Profile) overrides page layout — if FLS hides a field, it won't show even if on the layout.	ObjManager::PageLayouts	Salesforce Admin	Basic
